metric,value
training_seconds,810.572687
adam_steps,2500
lbfgs_steps,200
lbfgs_status,0
lbfgs_final_physics,0.000008
collocation_points,500
pinn_inference_seconds,0.227086
eval_points,15625
mae,0.000074
rmse,0.000107
max_abs_error,0.000477
